1,10,22,29,11,15,2,26,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,14,34,14,3,4,2,0,0,7,3,29
1,12,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,44
1,6,24,33,19,19,0,28,5,1,1,0,0,4,0,0,0,0,0,1,0,2,0,0,1,9,32,4,3,3,1,0,0,1,1,32
1,4,28,34,16,18,0,32,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,8,29,4,0,1,0,0,0,1,1,22
1,19,3,4,0,0,0,2,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0
1,5,40,47,26,29,1,44,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,4,21,28,4,0,0,1,0,0,2,1,26
1,9,31,45,15,18,0,44,1,1,1,1,0,0,1,0,0,1,2,2,0,1,0,0,10,36,10,2,2,1,0,0,0,3,0,41
1,8,40,47,23,24,0,43,3,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7,20,26,2,2,1,0,0,0,1,0,45
1,11,56,59,28,28,0,57,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,6,27,33,1,0,0,0,0,0,2,0,31
1,14,7,12,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0
1,1,49,55,24,25,0,52,3,3,0,0,0,0,2,1,0,3,4,0,0,1,0,3,24,38,5,2,0,2,0,0,0,1,0,28
1,3,46,53,17,20,0,50,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,7,32,26,1,0,0,0,0,0,0,0,0,0
1,7,33,43,18,20,0,36,7,0,0,0,7,0,0,0,0,0,0,1,0,0,1,2,9,20,19,0,0,0,0,0,0,0,0,0
1,13,9,10,5,6,0,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0
1,2,17,26,4,4,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,0,0,0
1,433,11,12,6,6,0,8,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,5,6,6,1,0,0,0,0,0,0,0,0
1,440,3,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,44
1,431,32,44,16,17,0,40,4,2,0,1,0,2,1,0,0,1,2,0,0,1,0,0,6,30,15,4,0,4,1,0,0,2,1,36
1,427,32,48,18,23,0,46,1,1,0,1,0,0,0,0,0,0,2,2,0,1,0,0,13,30,11,0,1,0,0,0,0,1,0,18
1,434,32,37,11,11,0,34,3,3,0,0,0,0,1,2,0,1,2,0,0,1,0,3,15,27,1,0,0,0,0,0,0,0,0,0
1,425,23,30,10,11,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,8,20,6,0,0,1,0,0,0,0,0,0
1,438,13,15,7,8,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10,3,0,0,0,0,0,0,0,0,0
1,430,29,39,13,17,0,30,9,1,0,1,8,0,0,0,0,0,0,0,0,1,1,4,12,24,9,1,0,0,0,0,0,0,0,0
1,424,43,52,26,28,0,44,8,1,1,0,7,0,1,0,0,1,2,1,0,0,0,4,22,25,15,0,0,0,0,0,0,0,0,0
1,428,51,58,27,28,0,54,4,3,0,0,1,0,1,0,0,1,1,0,0,0,1,1,25,32,3,0,0,0,0,0,0,0,0,0
1,436,3,6,3,4,0,6,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,2,4,9,2,1,1,0,0,0,1,0,40
1,435,56,62,20,21,0,62,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,40,26,0,0,0,0,0,0,0,0,0,0
1,272,44,54,18,18,0,53,0,0,0,0,0,0,1,1,0,0,2,4,0,0,1,6,30,41,1,1,1,2,0,0,0,1,1,25
1,423,29,43,10,10,0,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49,1,0,0,0,0,0,0,0,0,0,0
